Description	Target	Measure	E11	E10	E01
["""1470"""]	[target]	1.0	11.0	0.0	5493.0
["""2603"""]	[target]	1.0	15.0	0.0	5489.0
["""1041"""]	[target]	1.0	18.0	0.0	5486.0
["""1016"""]	[target]	1.0	11.0	0.0	5493.0
["""1372"""]	[target]	1.0	18.0	0.0	5486.0
["""1634"""]	[target]	1.0	12.0	0.0	5492.0
["""314""", """3045"""]	[target]	1.0	11.0	0.0	5493.0
["""698""", """1940"""]	[target]	1.0	14.0	0.0	5490.0
["""236""", """633""", """4493"""]	[target]	1.0	11.0	0.0	5493.0
["""1676""", """2613""", """3734"""]	[target]	1.0	11.0	0.0	5493.0
["""640""", """4651"""]	[target]	1.0	13.0	0.0	5491.0
["""1340""", """2263"""]	[target]	1.0	14.0	0.0	5490.0
["""1005""", """2343""", """3389"""]	[target]	1.0	14.0	0.0	5490.0
["""633""", """2440""", """3832"""]	[target]	1.0	10.0	0.0	5494.0
["""1421""", """2926""", """4328"""]	[target]	1.0	12.0	0.0	5492.0
["""979""", """3825"""]	[target]	1.0	12.0	0.0	5492.0
["""2014""", """3104"""]	[target]	1.0	25.0	0.0	5479.0
["""979""", """2317"""]	[target]	1.0	35.0	0.0	5469.0
["""1602""", """3446""", """3456"""]	[target]	1.0	11.0	0.0	5493.0
["""1651""", """2431""", """3270"""]	[target]	1.0	20.0	0.0	5484.0
["""348""", """3442"""]	[target]	1.0	10.0	0.0	5494.0
["""831""", """2632""", """2782""", """2859""", """3832"""]	[target]	1.0	10.0	0.0	5494.0
["""21""", """1590""", """1602""", """3001"""]	[target]	1.0	11.0	0.0	5493.0
["""1878""", """2087""", """4632"""]	[target]	1.0	18.0	0.0	5486.0
["""92""", """566""", """1532""", """3291"""]	[target]	1.0	11.0	0.0	5493.0
["""633""", """2177""", """2262""", """4378"""]	[target]	1.0	18.0	0.0	5486.0
["""2014""", """3360""", """4102"""]	[target]	1.0	15.0	0.0	5489.0
["""2014""", """2466""", """3832"""]	[target]	1.0	10.0	0.0	5494.0
["""2014""", """2317""", """3824"""]	[target]	1.0	16.0	0.0	5488.0
["""80""", """2371""", """2926"""]	[target]	1.0	11.0	0.0	5493.0
["""1982""", """2552"""]	[target]	1.0	18.0	0.0	5486.0
["""74""", """2647""", """3410"""]	[target]	1.0	10.0	0.0	5494.0
["""2926""", """4512""", """4651"""]	[target]	1.0	13.0	0.0	5491.0
["""979""", """2711"""]	[target]	1.0	20.0	0.0	5484.0
["""2720""", """3001"""]	[target]	1.0	37.0	0.0	5467.0
["""524""", """1590""", """3001"""]	[target]	1.0	17.0	0.0	5487.0
["""1878""", """1958""", """3832"""]	[target]	1.0	15.0	0.0	5489.0
["""2177""", """3045"""]	[target]	1.0	13.0	0.0	5491.0
["""1072""", """2833""", """4270"""]	[target]	1.0	21.0	0.0	5483.0
["""1186""", """2122""", """3078"""]	[target]	1.0	11.0	0.0	5493.0
["""693""", """2223""", """3939"""]	[target]	1.0	12.0	0.0	5492.0
["""236""", """1532"""]	[target]	1.0	36.0	0.0	5468.0
["""92""", """4270""", """4410"""]	[target]	1.0	14.0	0.0	5490.0
["""874""", """2730""", """4544"""]	[target]	1.0	11.0	0.0	5493.0
["""2122""", """3832"""]	[target]	1.0	15.0	0.0	5489.0
["""796""", """2647""", """3939"""]	[target]	1.0	20.0	0.0	5484.0
["""2262""", """2991"""]	[target]	1.0	10.0	0.0	5494.0
["""350""", """649""", """2014"""]	[target]	1.0	10.0	0.0	5494.0
["""1186""", """3381""", """4454"""]	[target]	1.0	18.0	0.0	5486.0
["""107""", """3771""", """3818"""]	[target]	1.0	12.0	0.0	5492.0
